skaterFullName,playerId,height,weight,birthDate,birthCity,birthStateProvinceCode,birthCountryCode,draftYear,draftRound,draftOverall,isInHallOfFameYn,currentTeamAbbrev,currentTeamName,shootsCatches,positionCode,gamesPlayed,goals,assists,points,nationalityCode,lastName,firstSeasonForGameType
Michael Callahan,8480828,74,195,1999-09-23,Franklin,MA,USA,2018.0,5.0,142.0,N,BOS,Boston Bruins,L,D,5,0,0,0,USA,Callahan,20242025
Stephen Halliday,8483676,76,214,2002-07-02,Ajax,ON,CAN,2022.0,4.0,104.0,N,OTT,Ottawa Senators,L,C,28,4,7,11,CAN,Halliday,20252026
Trevor Kuntar,8482479,72,205,2001-06-20,Buffalo,NY,USA,2020.0,3.0,89.0,N,BUF,Buffalo Sabres,L,C,1,0,0,0,USA,Kuntar,20252026
Cole Sillinger,8482705,72,202,2003-05-16,Columbus,OH,USA,2021.0,1.0,12.0,N,CBJ,Columbus Blue Jackets,L,C,78,8,25,33,USA,Sillinger,20212022
Adam Sykora,8483669,71,193,2004-09-07,Piestany,,SVK,2022.0,2.0,63.0,N,NYR,New York Rangers,L,L,8,3,1,4,SVK,Sykora,20252026
Daemon Hunt,8482094,73,193,2002-05-15,Brandon,MB,CAN,2020.0,3.0,65.0,N,MIN,Minnesota Wild,L,D,29,0,5,5,CAN,Hunt,20232024
Joel Farabee,8480797,72,186,2000-02-25,Syracuse,NY,USA,2018.0,1.0,14.0,N,CGY,Calgary Flames,L,L,78,19,18,37,USA,Farabee,20192020
Jared Davidson,8483728,71,183,2002-07-07,Edmonton,AB,CAN,2022.0,5.0,130.0,N,MTL,Montréal Canadiens,L,C,10,0,1,1,CAN,Davidson,20252026
Zach Whitecloud,8480727,74,210,1996-11-28,Brandon,MB,CAN,,,,N,CGY,Calgary Flames,R,D,74,2,12,14,CAN,Whitecloud,20172018
Ben Kindel,8485414,71,182,2007-04-19,Coquitlam,BC,CAN,2025.0,1.0,11.0,N,PIT,Pittsburgh Penguins,R,C,76,17,17,34,CAN,Kindel,20252026
Simon Lundmark,8481547,74,190,2000-10-08,Stockholm,,SWE,2019.0,2.0,51.0,N,TBL,Tampa Bay Lightning,R,D,1,0,0,0,SWE,Lundmark,20252026
Brandon Tanev,8479293,72,189,1991-12-31,Toronto,ON,CAN,,,,N,UTA,Utah Mammoth,L,L,52,0,3,3,CAN,Tanev,20152016
Sam Carrick,8475842,72,202,1992-02-04,Stouffville,ON,CAN,2010.0,5.0,144.0,N,BUF,Buffalo Sabres,R,C,73,9,7,16,CAN,Carrick,20142015
Carter Yakemchuk,8484759,75,219,2005-09-29,Fort McMurray,AB,CAN,2024.0,1.0,7.0,N,OTT,Ottawa Senators,R,D,4,1,1,2,CAN,Yakemchuk,20252026
Tyson Foerster,8482159,74,215,2002-01-18,Alliston,ON,CAN,2020.0,1.0,23.0,N,PHI,Philadelphia Flyers,R,R,26,13,3,16,CAN,Foerster,20222023
Sandis Vilmanis,8483771,73,192,2004-01-23,Riga,,LVA,2022.0,5.0,157.0,N,FLA,Florida Panthers,L,L,19,3,2,5,LVA,Vilmanis,20252026
Jack Quinn,8482097,73,185,2001-09-19,Ottawa,ON,CAN,2020.0,1.0,8.0,N,BUF,Buffalo Sabres,R,R,80,20,31,51,CAN,Quinn,20212022
Timo Meier,8478414,73,220,1996-10-08,Herisau,,CHE,2015.0,1.0,9.0,N,NJD,New Jersey Devils,L,R,74,24,18,42,CHE,Meier,20162017
Jake Evans,8478133,72,190,1996-06-02,Toronto,ON,CAN,2014.0,7.0,207.0,N,MTL,Montréal Canadiens,R,C,65,11,11,22,CAN,Evans,20192020
Pavel Zacha,8478401,76,211,1997-04-06,Brno,,CZE,2015.0,1.0,6.0,N,BOS,Boston Bruins,L,C,76,30,34,64,CZE,Zacha,20152016
Justin Brazeau,8479638,78,232,1998-02-02,New Liskeard,ON,CAN,,,,N,PIT,Pittsburgh Penguins,R,R,61,17,17,34,CAN,Brazeau,20232024
Yegor Sharangovich,8481068,74,196,1998-06-06,Minsk,,BLR,2018.0,5.0,141.0,N,CGY,Calgary Flames,L,C,74,15,14,29,BLR,Sharangovich,20202021
Mitch Marner,8478483,72,180,1997-05-05,Markham,ON,CAN,2015.0,1.0,4.0,N,VGK,Vegas Golden Knights,R,R,78,23,55,78,CAN,Marner,20162017
Berkly Catton,8484800,70,179,2006-01-14,Saskatoon,SK,CAN,2024.0,1.0,8.0,N,SEA,Seattle Kraken,L,C,62,7,10,17,CAN,Catton,20252026
Filip Forsberg,8476887,73,205,1994-08-13,Ostervala,,SWE,2012.0,1.0,11.0,N,NSH,Nashville Predators,R,L,79,38,35,73,SWE,Forsberg,20122013
Braden Schneider,8482073,75,206,2001-09-20,Prince Albert,SK,CAN,2020.0,1.0,19.0,N,NYR,New York Rangers,R,D,79,2,16,18,CAN,Schneider,20212022
Brett Leason,8481517,77,220,1999-04-30,Calgary,AB,CAN,2019.0,2.0,56.0,N,WSH,Washington Capitals,R,R,6,0,0,0,CAN,Leason,20212022
Connor Murphy,8476473,76,212,1993-03-26,Boston,MA,USA,2011.0,1.0,20.0,N,EDM,Edmonton Oilers,R,D,77,5,11,16,USA,Murphy,20132014
Justin Faulk,8475753,72,208,1992-03-20,South St. Paul,MN,USA,2010.0,2.0,37.0,N,DET,Detroit Red Wings,R,D,75,14,23,37,USA,Faulk,20112012
Tyson Jost,8479370,71,187,1998-03-14,St. Albert,AB,CAN,2016.0,1.0,10.0,N,NSH,Nashville Predators,L,C,66,8,8,16,CAN,Jost,20162017
Kaiden Guhle,8482087,75,202,2002-01-18,Edmonton,AB,CAN,2020.0,1.0,16.0,N,MTL,Montréal Canadiens,L,D,37,2,8,10,CAN,Guhle,20222023
Pius Suter,8480459,71,172,1996-05-24,Zurich,,CHE,,,,N,STL,St. Louis Blues,L,C,60,13,14,27,CHE,Suter,20202021
Jeff Skinner,8475784,71,200,1992-05-16,Toronto,ON,CAN,2010.0,1.0,7.0,N,,,L,L,32,6,7,13,CAN,Skinner,20102011
Connor Zary,8482074,72,178,2001-09-25,Saskatoon,SK,CAN,2020.0,1.0,24.0,N,CGY,Calgary Flames,L,C,71,11,13,24,CAN,Zary,20232024
Egor Zamula,8481178,75,200,2000-03-30,Chelyabinsk,,RUS,,,,N,CBJ,Columbus Blue Jackets,L,D,32,0,3,3,RUS,Zamula,20202021
Nate Danielson,8484160,74,195,2004-09-27,Edmonton,AB,CAN,2023.0,1.0,9.0,N,DET,Detroit Red Wings,R,C,28,2,5,7,CAN,Danielson,20252026
Jonathan Lekkerimäki,8483476,71,172,2004-07-24,Tullinge,,SWE,2022.0,1.0,15.0,N,VAN,Vancouver Canucks,R,R,13,2,1,3,SWE,Lekkerimäki,20242025
Artyom Levshunov,8484783,74,208,2005-10-28,Zhlobin,,BLR,2024.0,1.0,2.0,N,CHI,Chicago Blackhawks,R,D,68,2,22,24,BLR,Levshunov,20242025
Luke Kunin,8479316,72,197,1997-12-04,Chesterfield,MO,USA,2016.0,1.0,15.0,N,FLA,Florida Panthers,R,C,59,2,4,6,USA,Kunin,20172018
Simon Edvinsson,8482762,78,222,2003-02-05,Kungsbacka,,SWE,2021.0,1.0,6.0,N,DET,Detroit Red Wings,L,D,69,9,16,25,SWE,Edvinsson,20222023
William Eklund,8482667,70,185,2002-10-12,Stockholm,,SWE,2021.0,1.0,7.0,N,SJS,San Jose Sharks,L,L,74,14,35,49,SWE,Eklund,20212022
Bryan Rust,8475810,71,202,1992-05-11,Pontiac,MI,USA,2010.0,3.0,80.0,N,PIT,Pittsburgh Penguins,R,R,71,29,36,65,USA,Rust,20142015
Jaccob Slavin,8476958,75,207,1994-05-01,Denver,CO,USA,2012.0,4.0,120.0,N,CAR,Carolina Hurricanes,L,D,38,1,6,7,USA,Slavin,20152016
Isac Lundeström,8480806,73,192,1999-11-06,Gallivare,,SWE,2018.0,1.0,23.0,N,CBJ,Columbus Blue Jackets,L,C,65,4,8,12,SWE,Lundeström,20182019
Kris Letang,8471724,72,199,1987-04-24,Montréal,QC,CAN,2005.0,3.0,62.0,N,PIT,Pittsburgh Penguins,R,D,73,3,31,34,CAN,Letang,20062007
Troy Stecher,8479442,70,184,1994-04-07,Richmond,BC,CAN,,,,N,TOR,Toronto Maple Leafs,R,D,61,3,10,13,CAN,Stecher,20162017
Cody Glass,8479996,75,201,1999-04-01,Winnipeg,MB,CAN,2017.0,1.0,6.0,N,NJD,New Jersey Devils,R,C,67,18,7,25,CAN,Glass,20192020
Hunter Haight,8483452,70,173,2004-04-04,Strathroy,ON,CAN,2022.0,2.0,47.0,N,MIN,Minnesota Wild,R,C,7,0,1,1,CAN,Haight,20252026
Oscar Fisker Molgaard,8484168,72,168,2005-02-18,Hjørring,,DNK,2023.0,2.0,52.0,N,SEA,Seattle Kraken,L,C,11,0,2,2,DNK,Fisker Molgaard,20252026
Tim Stützle,8482116,72,187,2002-01-15,Viersen,,DEU,2020.0,1.0,3.0,N,OTT,Ottawa Senators,L,C,79,34,48,82,DEU,Stützle,20202021
Shea Theodore,8477447,74,197,1995-08-03,Aldergrove,BC,CAN,2013.0,1.0,26.0,N,VGK,Vegas Golden Knights,L,D,67,9,29,38,CAN,Theodore,20152016
Ben Hutton,8477018,75,209,1993-04-20,Brockville,ON,CAN,2012.0,5.0,147.0,N,VGK,Vegas Golden Knights,L,D,55,6,9,15,CAN,Hutton,20152016
Nathan Légaré,8481594,72,200,2001-01-11,Montréal,QC,CAN,2019.0,3.0,74.0,N,NJD,New Jersey Devils,R,R,1,0,0,0,CAN,Légaré,20242025
Arttu Hyry,8484938,75,211,2001-04-06,Oulu,,FIN,,,,N,DAL,Dallas Stars,R,R,18,2,2,4,FIN,Hyry,20242025
Brian Dumoulin,8475208,76,215,1991-09-06,Biddeford,ME,USA,2009.0,2.0,51.0,N,LAK,Los Angeles Kings,L,D,78,2,15,17,USA,Dumoulin,20132014
Hunter Brzustewicz,8484150,72,190,2004-11-29,Washington,MI,USA,2023.0,3.0,75.0,N,CGY,Calgary Flames,R,D,30,1,5,6,USA,Brzustewicz,20242025
Mikhail Sergachev,8479410,75,212,1998-06-25,Nizhnekamsk,,RUS,2016.0,1.0,9.0,N,UTA,Utah Mammoth,L,D,74,10,47,57,RUS,Sergachev,20162017
Brady Skjei,8476869,75,210,1994-03-26,Lakeville,MN,USA,2012.0,1.0,28.0,N,NSH,Nashville Predators,L,D,79,3,23,26,USA,Skjei,20152016
Brady Tkachuk,8480801,76,226,1999-09-16,Scottsdale,AZ,USA,2018.0,1.0,4.0,N,OTT,Ottawa Senators,L,L,59,22,37,59,USA,Tkachuk,20182019
Michael Kesselring,8480891,77,215,2000-01-13,Florence,SC,USA,2018.0,6.0,164.0,N,BUF,Buffalo Sabres,R,D,33,0,2,2,USA,Kesselring,20222023
Dryden Hunt,8478211,72,193,1995-11-24,Cranbrook,BC,CAN,,,,N,CGY,Calgary Flames,L,L,3,0,0,0,CAN,Hunt,20172018
Tanner Jeannot,8479661,74,221,1997-05-29,Estevan,SK,CAN,,,,N,BOS,Boston Bruins,L,L,75,6,15,21,CAN,Jeannot,20202021
Jani Nyman,8483497,74,212,2004-07-30,Valkeakoski,,FIN,2022.0,2.0,49.0,N,SEA,Seattle Kraken,L,R,26,4,2,6,FIN,Nyman,20242025
Kevin Korchinski,8483466,73,185,2004-06-21,Saskatoon,SK,CAN,2022.0,1.0,7.0,N,CHI,Chicago Blackhawks,L,D,10,0,2,2,CAN,Korchinski,20232024
Jake Bean,8479402,73,191,1998-06-09,Calgary,AB,CAN,2016.0,1.0,13.0,N,CGY,Calgary Flames,L,D,16,1,1,2,CAN,Bean,20182019
Juraj Slafkovský,8483515,75,225,2004-03-30,Kosice,,SVK,2022.0,1.0,1.0,N,MTL,Montréal Canadiens,L,L,79,30,41,71,SVK,Slafkovský,20222023
Isaiah George,8483448,73,203,2004-02-15,Oakville,ON,CAN,2022.0,4.0,98.0,N,NYI,New York Islanders,L,D,3,0,1,1,CAN,George,20242025
MacKenzie Weegar,8477346,72,206,1994-01-07,Ottawa,ON,CAN,2013.0,7.0,206.0,N,UTA,Utah Mammoth,R,D,75,4,21,25,CAN,Weegar,20162017
Nicholas Robertson,8481582,69,180,2001-09-11,Pasadena,CA,USA,2019.0,2.0,53.0,N,TOR,Toronto Maple Leafs,L,L,75,15,16,31,USA,Robertson,20202021
Dmitry Orlov,8475200,71,215,1991-07-23,Novokuznetsk,,RUS,2009.0,2.0,55.0,N,SJS,San Jose Sharks,L,D,78,3,32,35,RUS,Orlov,20112012
Filip Hallander,8480842,73,203,2000-06-29,Sundsvall,,SWE,2018.0,2.0,58.0,N,PIT,Pittsburgh Penguins,L,C,13,1,3,4,SWE,Hallander,20212022
Jake Middleton,8478136,75,219,1996-01-02,Wainwright,AB,CAN,2014.0,7.0,210.0,N,MIN,Minnesota Wild,L,D,72,2,14,16,CAN,Middleton,20182019
Dmitri Voronkov,8481716,77,234,2000-09-10,Angarsk,,RUS,2019.0,4.0,114.0,N,CBJ,Columbus Blue Jackets,L,L,63,17,15,32,RUS,Voronkov,20232024
Alexander Holtz,8482125,72,198,2002-01-23,Stockholm,,SWE,2020.0,1.0,7.0,N,VGK,Vegas Golden Knights,R,R,28,3,6,9,SWE,Holtz,20212022
Shayne Gostisbehere,8476906,71,183,1993-04-20,Pembroke Pines,FL,USA,2012.0,3.0,78.0,N,CAR,Carolina Hurricanes,L,D,53,13,35,48,USA,Gostisbehere,20142015
Ivan Barbashev,8477964,72,203,1995-12-14,Moscow,,RUS,2014.0,2.0,33.0,N,VGK,Vegas Golden Knights,L,L,79,22,36,58,RUS,Barbashev,20162017
Ben Chiarot,8475279,75,222,1991-05-09,Hamilton,ON,CAN,2009.0,4.0,120.0,N,DET,Detroit Red Wings,L,D,79,5,8,13,CAN,Chiarot,20132014
Alex Barré-Boulet,8479718,70,178,1997-05-21,Montmagny,QC,CAN,,,,N,COL,Colorado Avalanche,L,C,1,0,1,1,CAN,Barré-Boulet,20202021
Jordan Greenway,8478413,78,231,1997-02-16,Canton,NY,USA,2015.0,2.0,50.0,N,BUF,Buffalo Sabres,L,L,38,1,5,6,USA,Greenway,20172018
Victor Hedman,8475167,79,244,1990-12-18,Ornskoldsvik,,SWE,2009.0,1.0,2.0,N,TBL,Tampa Bay Lightning,L,D,33,1,16,17,SWE,Hedman,20092010
Simon Nemec,8483495,73,190,2004-02-15,Liptovský Mikuláš,,SVK,2022.0,1.0,2.0,N,NJD,New Jersey Devils,R,D,65,11,15,26,SVK,Nemec,20232024
Collin Graf,8484911,73,190,2002-09-21,Lincoln,MA,USA,,,,N,SJS,San Jose Sharks,R,R,77,20,24,44,USA,Graf,20232024
Morgan Frost,8480028,72,193,1999-05-14,Aurora,ON,CAN,2017.0,1.0,27.0,N,CGY,Calgary Flames,L,C,78,21,20,41,CAN,Frost,20192020
Ryan Reaves,8471817,74,225,1987-01-20,Winnipeg,MB,CAN,2005.0,5.0,156.0,N,SJS,San Jose Sharks,R,R,50,3,0,3,CAN,Reaves,20102011
Eeli Tolvanen,8480009,70,182,1999-04-22,Vihti,,FIN,2017.0,1.0,30.0,N,SEA,Seattle Kraken,L,R,74,12,24,36,FIN,Tolvanen,20172018
Chandler Stephenson,8476905,72,201,1994-04-22,Saskatoon,SK,CAN,2012.0,3.0,77.0,N,SEA,Seattle Kraken,L,C,76,15,32,47,CAN,Stephenson,20152016
Colin Miller,8476525,73,200,1992-10-29,Sault Ste. Marie,ON,CAN,2012.0,5.0,151.0,N,WPG,Winnipeg Jets,R,D,15,0,1,1,CAN,Miller,20152016
Otto Stenberg,8484230,71,188,2005-05-29,Stenungsund,,SWE,2023.0,1.0,25.0,N,STL,St. Louis Blues,L,C,30,2,7,9,SWE,Stenberg,20252026
Drew Helleson,8481563,75,208,2001-03-26,Farmington,MN,USA,2019.0,2.0,47.0,N,ANA,Anaheim Ducks,R,D,59,2,13,15,USA,Helleson,20222023
Olli Maatta,8476874,74,207,1994-08-22,Jyväskylä,,FIN,2012.0,1.0,22.0,N,CGY,Calgary Flames,L,D,39,2,11,13,FIN,Maatta,20132014
Elias Pettersson,8483678,74,185,2004-02-16,Vasteras,,SWE,2022.0,3.0,80.0,N,VAN,Vancouver Canucks,L,D,66,2,7,9,SWE,Pettersson,20242025
Kyle Connor,8478398,73,183,1996-12-09,Shelby Township,MI,USA,2015.0,1.0,17.0,N,WPG,Winnipeg Jets,L,L,78,38,51,89,USA,Connor,20162017
